"","duracao_corrigido","campo","lda","sondatipo","dist_navegacao_1","mes_1","detalhamento_1_1"
"82",76.05,"62",4396.3,"DP",56.9626940102516,"09","SUPER CONVENCIONAL"
"83",138.85,"62",4504.6,"DP",39.4596548174182,"02","CONVENCIONAL"
"84",55.58,"62",4389.8,"DP",2.28470086613178,"04","CONVENCIONAL"
"85",60.83,"62",4603,"DP",56.8375245924164,"04","CONVENCIONAL"
"86",31.22,"64",4537.4,"LWO",0.947849836846919,"08","CONVENCIONAL"
"87",70.47,"64",4534.1,"DP",595.329693163382,"06","CONVENCIONAL"
"88",33.42,"64",4790,"DP",144.4327140522,"06","THROUGH-TUBING"
"89",18.17,"64",4580.1,"LWO",214.842580460136,"08","CONVENCIONAL"
"90",29.69,"64",4560.4,"LWO",0,"01","CONVENCIONAL"
"91",502.25,"63",397,"PF",0,"12","CONVENCIONAL"
"92",51.15,"70",344.5,"ANC",0,"05","SUPER CONVENCIONAL"
"93",27.04,"70",337.9,"ANC",0,"06","SUPER CONVENCIONAL"
"94",144.88,"70",347.8,"ANC",0,"07","CONVENCIONAL"
"95",40.79,"70",347.8,"ANC",6.97946211490414,"03","CONVENCIONAL"
"96",172.71,"70",341.2,"ANC",0,"05","CONVENCIONAL"
"97",55.77,"70",315,"ANC",9.38167596066463,"12","SUPER CONVENCIONAL"
"98",121.1,"70",341.2,"ANC",0,"05","CONVENCIONAL"
"99",63.04,"71",1276.25,"ANC",69.2483314828247,"10","SUPER CONVENCIONAL"
"100",60.05,"75",3408.79,"DP",14.9964695518954,"07","CONVENCIONAL"
"101",63.44,"75",3425.2,"DP",0,"08","THROUGH-TUBING"
"102",58.96,"79",387.1,"ANC",0,"11","SUPER CONVENCIONAL"
"103",42.12,"73",2857.61,"DP",130.813541758322,"01","CONVENCIONAL"
"104",24.19,"73",3105.31,"DP",3.76242278876589,"11","CONVENCIONAL"
"105",32.08,"73",2526.25,"LWO",30.1249846892744,"01","CONVENCIONAL RCMA"
"106",25.83,"73",3218.5,"DP",11.1815981133287,"10","CONVENCIONAL"
"107",32.04,"73",3346.46,"LWO",6.35440878804724,"03","CONVENCIONAL"
"108",50.19,"73",3221.78,"DP",64.3714253235006,"01","CONVENCIONAL"
"109",39.48,"73",2696.9,"DP",19.2010339857945,"01","CONVENCIONAL"
"110",62.06,"73",2759.2,"DP",4.76057817877543,"07","CONVENCIONAL"
"111",103.46,"73",2887.1,"ANC",0,"04","CONVENCIONAL"
"112",40.62,"73",3333.33,"DP",13.3758901516564,"11","CONVENCIONAL"
"113",10.08,"73",3126.64,"DP",0.606253121724412,"02","CONVENCIONAL"
"114",100.65,"73",2887.1,"DP",8.09355504353899,"09","SUPER CONVENCIONAL"
"115",69.75,"73",2926.5,"DP",0,"08","CONVENCIONAL"
"116",50.06,"73",3077.43,"DP",1.73975847859825,"09","CONVENCIONAL"
"117",36,"73",3080.71,"DP",139.946722258606,"12","THROUGH-TUBING"
"118",132.55,"73",2887.1,"DP",9.48613700448915,"04","CONVENCIONAL"
"119",52.31,"73",2385.2,"ANC",31.0646530872977,"07","CONVENCIONAL"
"120",144.62,"73",3412.1,"DP",7.70556558322539,"02","CONVENCIONAL"
"121",35.42,"73",3215.22,"LWO",5.24810776410918,"03","THROUGH-TUBING"
"122",62.96,"73",2657.5,"DP",10.0896648068555,"12","SUPER CONVENCIONAL"
"123",44.96,"73",2601.71,"LWO",398.905421151723,"08","THROUGH-TUBING"
"124",116.69,"73",2201.4,"DP",59.9643605727975,"07","SUPER CONVENCIONAL"
"125",61.65,"73",3136.5,"DP",7.47015429407587,"11","CONVENCIONAL"
"126",35.08,"73",3120.1,"DP",0.735778676113753,"04","THROUGH-TUBING"
"127",100.17,"73",2293.3,"ANC",5.06306068043841,"08","CONVENCIONAL"
"128",31.21,"73",3139.8,"LWO",343.097107603931,"06","THROUGH-TUBING"
"129",42.48,"73",3189,"DP",8.74368727872235,"03","CONVENCIONAL"
"130",8.5,"73",3061.02,"DP",0.761006456256506,"02","CONVENCIONAL"
"131",48.04,"73",3044.62,"DP",51.160139732909,"07","CONVENCIONAL"
"132",14.9,"73",3051.18,"DP",4.74327611127363,"02","CONVENCIONAL"
"133",16,"73",2460.63,"LWO",3.62177339647859,"11","CONVENCIONAL"
"134",36.1,"73",2372.05,"LWO",0,"02","CONVENCIONAL"
"135",55.58,"73",2211.29,"DP",2.93972785523193,"08","CONVENCIONAL RCMA"
"136",25.29,"73",2549.21,"DP",59.8521457917133,"12","THROUGH-TUBING"
"137",54.28,"73",2536.1,"DP",19.2013530701264,"01","CONVENCIONAL"
"138",126.54,"78",1587.93,"DP",0,"07","CONVENCIONAL"
"139",53.75,"84",354.3,"PF",0.102622842354514,"04","CONVENCIONAL"
"140",164.52,"84",354.3,"PF",0,"09","CONVENCIONAL"
"141",73.73,"84",587.3,"ANC",81.9290997224188,"12","CONVENCIONAL"
"142",37.88,"84",354.3,"PF",0,"03","CONVENCIONAL"
"143",24.94,"68",4183.07,"DP",5.70770328832801,"09","THROUGH-TUBING"
"144",23.42,"91",5515.09,"LWO",0.691536002263763,"12","THROUGH-TUBING"
"145",33.15,"94",738.2,"ANC",89.5384428831308,"07","CONVENCIONAL"
"146",33.15,"94",935,"ANC",0,"06","THROUGH-TUBING"
"147",30.71,"94",941.6,"ANC",0,"07","CONVENCIONAL"
"148",84.96,"98",5971.1,"DP",3.70265811019672,"05","CONVENCIONAL"
"149",97.78,"98",5853,"DP",1.82432802230581,"07","CONVENCIONAL"
"150",90.5,"98",5725.07,"DP",0,"04","CONVENCIONAL"
